station,line,lat,lon
4.19민주묘지역,우이신설경전철,37.649531,127.013698
가능역,1호선,37.748396,127.044288
가락시장역,3호선,37.492249,127.117642
가락시장역,8호선,37.493099,127.118263
가산디지털단지역,1호선,37.481531,126.882615
가산디지털단지역,7호선,37.480396,126.882662
가야대역,부산김해경전철,35.266815,128.864973
가야역,부산2호선,35.155935,129.043313
가양역,9호선,37.561433,126.854421
가오리역,우이신설경전철,37.641544,127.016769
가재울역,인천2호선,37.484150,126.683768
가정역,인천2호선,37.524818,126.675359
가정중앙시장역,인천2호선,37.517526,126.676822
가좌역,경의중앙선,37.568743,126.914815
가천대역,수인분당선,37.448562,127.126697
가평역,경춘선,37.814520,127.510739
간석역,1호선,37.464706,126.693519
간석오거리역,인천1호선,37.467083,126.707918
갈매역,경춘선,37.634069,127.114761
갈산역,인천1호선,37.517118,126.721551
감전역,부산2호선,35.155346,128.991476
강남구청역,7호선,37.517216,127.041311
강남구청역,수인분당선,37.516624,127.041504
강남대역,용인에버라인,37.270171,127.126067
강남역,2호선,37.498086,127.028001
강남역,신분당선,37.496777,127.028185
강동구청역,8호선,37.530211,127.120444
강동역,5호선,37.535882,127.132396
강매역,경의중앙선,37.612290,126.844498
강변역,2호선,37.535118,127.094741
강서구청역,부산3호선,35.211180,128.981986
강일역,5호선,37.557426,127.175680
개금역,부산2호선,35.153242,129.020568
개롱역,5호선,37.497968,127.135080
개봉역,1호선,37.494642,126.858716
개포동역,수인분당선,37.489139,127.066121
개화산역,5호선,37.572537,126.806814
개화역,9호선,37.578345,126.796891
거여역,5호선,37.493330,127.143774
거제역,동해선,35.189573,129.074318
거제역,부산3호선,35.188490,129.074093
거제해맞이역,동해선,35.181207,129.069007
건대입구역,2호선,37.540408,127.069203
건대입구역,7호선,37.540869,127.071104
걸포북변역,김포골드라인,37.631639,126.705776
검단사거리역,인천2호선,37.601660,126.656438
검단오류역,인천2호선,37.594942,126.627905
검단호수공원역,인천1호선,37.602406,126.688281
검바위역,인천2호선,37.561126,126.677531
검암역,공항철도,37.569253,126.673642
검암역,인천2호선,37.568677,126.675675
경기광주역,경강선,37.398944,127.253283
경기도청북부청사역,의정부경전철,37.750765,127.071618
경마공원역,4호선,37.443963,127.007838
경복궁역,3호선,37.575806,126.973691
경성대.부경대역,부산2호선,35.137600,129.100519
경인교대입구역,인천1호선,37.538124,126.722631
경전철의정부역,의정부경전철,37.737264,127.043306
경찰병원역,3호선,37.496005,127.124482
계산역,인천1호선,37.543308,126.727731
계양역,공항철도,37.571771,126.736274
계양역,인천1호선,37.571518,126.736335
고덕역,5호선,37.555048,127.154165
고려대역,6호선,37.590442,127.036308
